make,model,vehicle_class,engine_size,cylinders,transmission,fuel_type,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb(l/100km),fuel_consumption_comb(mpg),co2_emissions
0,1057,0,2.0,4,2,4,9.9,6.7,8.5,33,196
0,1057,0,2.4,4,4,4,11.2,7.7,9.6,29,221
0,1058,0,1.5,4,3,4,6.0,5.8,5.9,48,136
0,1233,11,3.5,6,2,4,12.7,9.1,11.1,25,255
0,1499,11,3.5,6,2,4,12.1,8.7,10.6,27,244
0,1510,2,3.5,6,2,4,11.9,7.7,10.0,28,230
0,1778,2,3.5,6,2,4,11.8,8.1,10.1,28,232
0,1779,2,3.7,6,2,4,12.8,9.0,11.1,25,255
0,1779,2,3.7,6,4,4,13.4,9.5,11.6,24,267
0,1803,0,2.4,4,2,4,10.6,7.5,9.2,31,212
0,1803,0,2.4,4,4,4,11.2,8.1,9.8,29,225
0,1803,0,3.5,6,2,4,12.1,8.3,10.4,27,239
1,113,13,1.8,4,1,4,9.7,6.9,8.4,34,193
2,708,3,5.9,12,0,4,18.0,12.6,15.6,18,359
2,1484,10,5.9,12,0,4,18.0,12.6,15.6,18,359
2,1866,13,4.7,8,1,4,17.4,11.3,14.7,19,338
2,1866,13,4.7,8,4,4,18.1,12.2,15.4,18,354
2,1867,13,4.7,8,1,4,17.4,11.3,14.7,19,338
2,1867,13,4.7,8,4,4,18.1,12.2,15.4,18,354
2,1872,3,5.9,12,0,4,18.0,12.6,15.6,18,359
3,234,0,2.0,4,3,4,9.9,7.4,8.8,32,202
3,236,0,2.0,4,2,4,11.5,8.1,10.0,28,230
3,236,0,2.0,4,4,4,10.8,7.5,9.3,30,214
3,240,10,2.0,4,2,4,11.5,8.1,10.0,28,230
3,242,10,2.0,4,2,4,11.5,8.1,10.0,28,230
3,242,10,2.0,4,4,4,10.8,7.5,9.3,30,214
3,246,2,2.0,4,2,4,12.0,8.1,10.2,28,235
3,246,2,3.0,6,2,4,12.8,8.6,10.9,26,251
3,247,2,3.0,6,2,0,9.8,6.2,8.1,35,217
3,250,2,3.0,6,2,4,13.3,8.5,11.2,25,262
3,251,2,3.0,6,2,0,9.8,6.2,8.1,35,217
3,253,2,3.0,6,2,4,13.1,8.8,11.2,25,258
3,253,2,4.0,8,2,4,13.7,8.3,11.3,25,265
3,256,2,3.0,6,2,0,9.8,6.5,8.4,34,224
3,257,1,3.0,6,2,4,13.1,8.8,11.2,25,258
3,257,1,4.0,8,2,4,14.7,9.7,12.5,23,288
3,257,1,6.3,12,2,4,18.7,11.5,15.5,18,363
3,259,1,3.0,6,2,0,9.8,6.5,8.4,34,224
3,272,9,2.0,4,2,4,11.8,8.8,10.5,27,242
3,1409,11,2.0,4,2,4,12.0,8.5,10.4,27,239
3,1409,11,3.0,6,2,4,12.9,9.2,11.2,25,258
3,1414,11,3.0,6,2,0,10.2,7.8,9.0,31,244
3,1410,11,2.0,4,2,4,9.9,8.3,9.2,31,212
3,1432,12,3.0,6,2,4,15.1,10.9,13.2,21,304
3,1433,12,3.0,6,2,0,12.4,8.7,10.7,26,290
3,1458,13,4.2,8,0,4,17.6,11.0,14.6,19,336
3,1458,13,4.2,8,4,4,21.2,13.4,17.7,16,407
3,1458,13,5.2,10,0,4,18.2,10.6,14.8,19,347
3,1458,13,5.2,10,4,4,21.1,13.8,17.8,16,409
3,1461,13,4.2,8,0,4,17.6,11.0,14.6,19,336
3,1461,13,4.2,8,4,4,21.2,13.4,17.7,16,407
3,1461,13,5.2,10,0,4,18.2,10.6,14.8,19,347
3,1461,13,5.2,10,4,4,21.1,13.8,17.8,16,409
3,1518,10,4.2,8,0,4,15.3,10.9,13.3,21,306
3,1519,10,4.2,8,0,4,15.2,11.3,13.4,21,308
3,1522,2,4.0,8,2,4,15.5,8.8,12.5,23,293
3,1580,0,3.0,6,0,4,13.2,9.2,11.4,25,262
3,1580,0,3.0,6,4,4,14.6,9.8,12.4,23,285
3,1582,10,3.0,6,0,4,13.2,9.2,11.4,25,262
3,1582,10,3.0,6,4,4,14.6,9.8,12.4,23,285
3,1583,10,3.0,6,0,4,13.3,9.5,11.6,24,267
3,1589,2,4.0,8,0,4,14.2,9.7,12.2,23,281
3,1606,2,4.0,8,0,4,14.2,9.7,12.2,23,281
3,1608,2,4.0,8,2,4,15.8,9.2,12.8,22,300
3,1690,11,3.0,6,2,4,14.9,10.1,12.7,22,292
3,1804,10,2.0,4,0,4,10.4,7.6,9.1,31,209
3,1806,13,2.0,4,0,4,10.4,7.6,9.1,31,209
3,1811,10,2.0,4,0,4,11.5,8.8,10.3,27,237
3,1813,13,2.0,4,0,4,11.5,8.8,10.3,27,237
4,525,10,4.0,8,2,4,16.3,9.8,13.4,21,314
4,525,10,6.0,12,2,4,18.8,11.5,15.5,18,356
4,529,10,4.0,8,2,4,17.4,10.2,14.2,20,332
4,529,10,6.0,12,2,4,20.0,12.2,16.5,17,380
4,527,10,6.0,12,2,4,20.0,12.2,16.5,17,380
4,904,2,6.0,12,2,4,20.3,11.9,16.5,17,388
4,1261,2,6.8,8,2,4,22.3,14.9,19.0,15,437
5,54,0,2.0,4,0,4,10.0,6.5,8.4,34,193
5,54,0,2.0,4,4,4,10.4,6.7,8.7,32,200
5,56,0,2.0,4,0,4,10.2,7.0,8.8,32,202
5,58,0,2.0,4,0,0,7.6,5.5,6.7,42,181
5,60,9,2.0,4,0,0,7.6,5.5,6.7,42,181
5,61,0,2.0,4,0,4,10.0,6.5,8.4,34,193
5,61,0,2.0,4,4,4,10.4,6.7,8.7,32,200
5,63,0,2.0,4,0,4,10.6,7.2,9.1,31,209
5,64,1,2.0,4,0,4,10.6,7.2,9.1,31,209
5,66,9,2.0,4,0,4,10.6,7.2,9.1,31,209
5,74,0,3.0,6,0,4,11.4,7.3,9.6,29,221
5,74,0,3.0,6,4,4,11.8,7.9,10.0,28,230
5,76,0,3.0,6,0,4,11.7,7.8,9.9,29,228
5,76,0,3.0,6,4,4,11.9,8.3,10.3,27,237
5,77,1,3.0,6,0,4,11.9,8.0,10.1,28,232
5,87,0,2.0,4,0,4,10.0,6.5,8.4,34,193
5,87,0,2.0,4,4,4,10.4,6.7,8.7,32,200
5,90,0,2.0,4,0,4,10.6,7.2,9.1,31,209
5,100,0,3.0,6,0,4,11.4,7.3,9.6,29,221
5,100,0,3.0,6,4,4,11.8,7.9,10.0,28,230
5,103,0,3.0,6,0,4,11.7,7.8,9.9,29,228
5,103,0,3.0,6,4,4,11.9,8.3,10.3,27,237
5,135,2,2.0,4,0,4,10.2,7.0,8.8,32,202
5,137,2,2.0,4,0,4,10.6,7.2,9.1,31,209
5,142,2,3.0,6,0,0,9.2,6.4,7.9,36,213
5,144,2,3.0,6,0,4,11.9,8.0,10.1,28,232
5,145,1,3.0,6,0,4,12.5,8.6,10.7,26,246
5,150,2,4.4,8,0,4,14.4,9.6,12.2,23,281
5,151,1,4.4,8,0,4,15.0,9.8,12.7,22,292
5,154,0,3.0,6,0,4,11.9,8.0,10.1,28,232
5,158,10,4.4,8,0,4,15.0,9.8,12.7,22,292
5,159,0,4.4,8,0,4,14.4,9.6,12.2,23,281
5,160,0,4.4,8,0,4,15.0,9.8,12.7,22,292
5,163,1,3.0,6,0,4,12.5,8.6,10.7,26,246
5,169,1,4.4,8,0,4,15.0,9.8,12.7,22,292
5,165,1,4.4,8,0,4,15.0,9.8,12.7,22,292
5,174,1,6.0,12,0,4,18.7,11.5,15.5,18,356
5,269,0,3.0,6,0,4,9.2,7.1,8.3,34,191
5,270,2,3.0,6,0,4,10.5,7.9,9.3,30,214
5,271,1,3.0,6,0,4,10.5,7.6,9.2,31,212
5,275,1,4.4,8,0,4,15.0,9.8,12.7,22,292
5,276,1,4.4,8,0,4,15.0,9.8,12.7,22,292
5,1186,2,4.4,8,1,4,17.3,11.5,14.7,19,338
5,1186,2,4.4,8,4,4,16.2,10.9,13.8,20,317
5,1193,0,4.4,8,1,4,17.3,11.5,14.7,19,338
5,1193,0,4.4,8,4,4,16.2,10.9,13.8,20,317
5,1194,10,4.4,8,1,4,17.3,11.5,14.7,19,338
5,1194,10,4.4,8,4,4,16.2,10.9,13.8,20,317
5,1196,0,4.4,8,1,4,17.3,11.5,14.7,19,338
5,1196,0,4.4,8,4,4,16.2,10.9,13.8,20,317
5,1913,11,2.0,4,0,4,10.6,7.2,9.1,31,209
5,1914,11,3.0,6,0,4,13.2,8.9,11.3,25,260
5,1923,11,2.0,4,0,4,11.2,8.5,10.0,28,230
5,1925,11,3.0,6,0,4,12.6,9.1,11.0,26,253
5,1936,12,3.0,6,0,4,12.9,8.8,11.1,25,255
5,1937,12,4.4,8,0,4,16.3,10.9,13.9,20,320
5,1940,12,4.4,8,0,4,18.1,13.7,16.1,18,370
5,1942,12,3.0,6,0,4,13.6,9.8,11.9,24,274
5,1943,12,4.4,8,0,4,16.4,11.3,14.1,20,324
5,2044,13,2.0,4,0,4,10.8,7.1,9.1,31,209
5,2044,13,2.0,4,4,4,10.4,6.7,8.7,32,200
5,2045,13,3.0,6,1,4,13.7,10.1,12.1,23,278
5,2045,13,3.0,6,4,4,12.7,9.0,11.0,26,253
5,2046,13,3.0,6,1,4,13.7,10.1,12.1,23,278
7,766,12,3.6,6,0,3,14.3,9.9,12.3,23,283
