make,model,vehicle_class,engine_size,cylinders,transmission,fuel_type,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb(l/100km),fuel_consumption_comb(mpg),co2_emissions
0,1031,0,2.0,4,2,4,9.9,6.7,8.5,33,196
0,1031,0,2.4,4,4,4,11.2,7.7,9.6,29,221
0,1032,0,1.5,4,3,4,6.0,5.8,5.9,48,136
0,1198,11,3.5,6,2,4,12.7,9.1,11.1,25,255
0,1449,11,3.5,6,2,4,12.1,8.7,10.6,27,244
0,1460,2,3.5,6,2,4,11.9,7.7,10.0,28,230
0,1724,2,3.5,6,2,4,11.8,8.1,10.1,28,232
0,1725,2,3.7,6,2,4,12.8,9.0,11.1,25,255
0,1725,2,3.7,6,4,4,13.4,9.5,11.6,24,267
0,1749,0,2.4,4,2,4,10.6,7.5,9.2,31,212
0,1749,0,2.4,4,4,4,11.2,8.1,9.8,29,225
0,1749,0,3.5,6,2,4,12.1,8.3,10.4,27,239
1,113,13,1.8,4,1,4,9.7,6.9,8.4,34,193
2,691,3,5.9,12,0,4,18.0,12.6,15.6,18,359
2,1434,10,5.9,12,0,4,18.0,12.6,15.6,18,359
2,1812,13,4.7,8,1,4,17.4,11.3,14.7,19,338
2,1812,13,4.7,8,4,4,18.1,12.2,15.4,18,354
2,1813,13,4.7,8,1,4,17.4,11.3,14.7,19,338
2,1813,13,4.7,8,4,4,18.1,12.2,15.4,18,354
2,1818,3,5.9,12,0,4,18.0,12.6,15.6,18,359
3,234,0,2.0,4,3,4,9.9,7.4,8.8,32,202
3,236,0,2.0,4,2,4,11.5,8.1,10.0,28,230
3,236,0,2.0,4,4,4,10.8,7.5,9.3,30,214
3,240,10,2.0,4,2,4,11.5,8.1,10.0,28,230
3,242,10,2.0,4,2,4,11.5,8.1,10.0,28,230
3,242,10,2.0,4,4,4,10.8,7.5,9.3,30,214
3,246,2,2.0,4,2,4,12.0,8.1,10.2,28,235
3,246,2,3.0,6,2,4,12.8,8.6,10.9,26,251
3,247,2,3.0,6,2,0,9.8,6.2,8.1,35,217
3,250,2,3.0,6,2,4,13.3,8.5,11.2,25,262
3,251,2,3.0,6,2,0,9.8,6.2,8.1,35,217
3,253,2,3.0,6,2,4,13.1,8.8,11.2,25,258
3,253,2,4.0,8,2,4,13.7,8.3,11.3,25,265
3,256,2,3.0,6,2,0,9.8,6.5,8.4,34,224
3,257,1,3.0,6,2,4,13.1,8.8,11.2,25,258
3,257,1,4.0,8,2,4,14.7,9.7,12.5,23,288
3,257,1,6.3,12,2,4,18.7,11.5,15.5,18,363
3,259,1,3.0,6,2,0,9.8,6.5,8.4,34,224
3,271,9,2.0,4,2,4,11.8,8.8,10.5,27,242
3,1359,11,2.0,4,2,4,12.0,8.5,10.4,27,239
3,1359,11,3.0,6,2,4,12.9,9.2,11.2,25,258
3,1364,11,3.0,6,2,0,10.2,7.8,9.0,31,244
3,1360,11,2.0,4,2,4,9.9,8.3,9.2,31,212
3,1382,12,3.0,6,2,4,15.1,10.9,13.2,21,304
3,1383,12,3.0,6,2,0,12.4,8.7,10.7,26,290
3,1408,13,4.2,8,0,4,17.6,11.0,14.6,19,336
3,1408,13,5.2,10,0,4,18.2,10.6,14.8,19,347
3,1411,13,4.2,8,0,4,17.6,11.0,14.6,19,336
3,1411,13,5.2,10,0,4,18.2,10.6,14.8,19,347
3,1468,10,4.2,8,0,4,15.3,10.9,13.3,21,306
3,1469,10,4.2,8,0,4,15.2,11.3,13.4,21,308
3,1472,2,4.0,8,2,4,15.5,8.8,12.5,23,293
3,1530,0,3.0,6,0,4,13.2,9.2,11.4,25,262
3,1530,0,3.0,6,4,4,14.6,9.8,12.4,23,285
3,1532,10,3.0,6,0,4,13.2,9.2,11.4,25,262
3,1532,10,3.0,6,4,4,14.6,9.8,12.4,23,285
3,1533,10,3.0,6,0,4,13.3,9.5,11.6,24,267
3,1539,2,4.0,8,0,4,14.2,9.7,12.2,23,281
3,1556,2,4.0,8,0,4,14.2,9.7,12.2,23,281
3,1558,2,4.0,8,2,4,15.8,9.2,12.8,22,300
3,1636,11,3.0,6,2,4,14.9,10.1,12.7,22,292
3,1750,10,2.0,4,0,4,10.4,7.6,9.1,31,209
3,1752,13,2.0,4,0,4,10.4,7.6,9.1,31,209
3,1757,10,2.0,4,0,4,11.5,8.8,10.3,27,237
3,1759,13,2.0,4,0,4,11.5,8.8,10.3,27,237
4,512,10,4.0,8,2,4,16.3,9.8,13.4,21,314
4,512,10,6.0,12,2,4,18.8,11.5,15.5,18,356
4,516,10,4.0,8,2,4,17.4,10.2,14.2,20,332
4,516,10,6.0,12,2,4,20.0,12.2,16.5,17,380
4,514,10,6.0,12,2,4,20.0,12.2,16.5,17,380
4,881,2,6.0,12,2,4,20.3,11.9,16.5,17,388
5,54,0,2.0,4,0,4,10.0,6.5,8.4,34,193
5,54,0,2.0,4,4,4,10.4,6.7,8.7,32,200
5,56,0,2.0,4,0,4,10.2,7.0,8.8,32,202
5,58,0,2.0,4,0,0,7.6,5.5,6.7,42,181
5,60,9,2.0,4,0,0,7.6,5.5,6.7,42,181
5,61,0,2.0,4,0,4,10.0,6.5,8.4,34,193
5,61,0,2.0,4,4,4,10.4,6.7,8.7,32,200
5,63,0,2.0,4,0,4,10.6,7.2,9.1,31,209
5,64,1,2.0,4,0,4,10.6,7.2,9.1,31,209
5,66,9,2.0,4,0,4,10.6,7.2,9.1,31,209
